Race	Labels
Black	['muzzle', 'wig', 'cloak', 'cellular telephone', 'hair spray']
Black	['suit', 'microphone', 'fur coat', 'oboe', 'neck brace']
Black	['stage', 'comic book', 'academic gown', 'steel drum', 'neck brace']
Black	['stretcher', "potter's wheel", 'gong', 'flute', 'neck brace']
Black	['steel drum', 'llama', 'water buffalo', 'ox', 'mask']
Black	['sunglasses', 'mortarboard', 'toyshop', 'hair slide', 'maypole']
Black	['pinwheel', 'wig', 'Irish water spaniel', 'chain mail', 'cardigan']
Black	['bonnet', 'airship', 'aircraft carrier', 'dock', 'drilling platform']
Black	['ballplayer', 'black-and-tan coonhound', 'bulletproof vest', 'neck brace', 'oxygen mask']
Black	['jersey', 'Windsor tie', 'bolo tie', 'suit', 'lab coat']
Black	['English foxhound', 'web site', 'book jacket', 'television', 'marimba']
Black	['stage', 'shower cap', 'military uniform', 'bow tie', 'cowboy hat']
Black	['screwdriver', 'gasmask', 'lab coat', 'vacuum', 'suit']
Black	['backpack', 'wig', 'mask', 'bonnet', 'mailbag']
Black	['sarong', 'torch', 'shield', 'plunger', 'drum']
Black	['ski mask', 'swing', 'coho', 'miniskirt', 'chain mail']
Black	['jean', 'bikini', 'maillot', 'maillot', 'sarong']
Black	['crutch', 'wig', 'hair spray', 'brassiere', 'groom']
Black	['stage', 'bulletproof vest', 'bighorn', 'military uniform', 'warthog']
Black	['wombat', 'torch', 'feather boa', 'wig', 'mask']
Black	['candle', 'space shuttle', 'monastery', 'assault rifle', 'bulletproof vest']
Black	['projectile', 'black-and-tan coonhound', 'screen', 'dugong', 'abaya']
Black	['jersey', 'mask', 'gasmask', 'shower cap', 'Labrador retriever']
Black	['bull mastiff', 'Mexican hairless', 'miniature pinscher', 'Italian greyhound', 'Chihuahua']
Black	['Band Aid', 'cash machine', 'crutch', 'sweatshirt', 'bulletproof vest']
Black	['notebook', 'stage', 'electric guitar', 'sax', 'accordion']
Black	['acoustic guitar', 'maraca', 'drumstick', 'drum', 'jellyfish']
Black	['banjo', 'swimming trunks', 'bow', 'sorrel', 'bathing cap']
Black	['tusker', 'bow tie', 'hand blower', 'neck brace', 'suit']
Black	['hair spray', 'academic gown', 'mortarboard', 'rugby ball', 'ocarina']
Black	['drum', 'pickelhaube', 'pick', 'loupe', 'ocarina']
Black	['whistle', 'gong', 'home theater', 'punching bag', 'pool table']
Black	['television', 'crutch', 'jean', 'sombrero', 'bolo tie']
Black	['stethoscope', 'maillot', 'maillot', 'bikini', 'bathing cap']
Black	['swimming trunks', 'ski mask', 'goldfish', 'mask', 'stage']
Black	['cornet', 'suit', 'Windsor tie', 'lab coat', 'bow tie']
Black	['bolo tie', 'sunglass', 'monkey', 'sunglasses', 'pug']
Black	['monkey', 'bikini', 'maillot', 'sarong', 'maillot']
Black	['snorkel', 'neck brace', 'academic gown', 'Windsor tie', 'screen']
Black	['jersey', "potter's wheel", 'Indian cobra', 'plate', 'neck brace']
Black	['American lobster', 'swing', 'corn', 'sleeping bag', 'ear']
Black	['horizontal bar', 'pinwheel', 'maypole', 'paddle', 'cloak']
Black	['shield', 'military uniform', 'suit', 'bow tie', 'Windsor tie']
Black	['academic gown', 'Japanese spaniel', 'Sealyham terrier', 'Windsor tie', 'Sussex spaniel']
Black	['wire-haired fox terrier', 'power drill', 'chain saw', 'ski mask', 'gasmask']
Black	['oxygen mask', 'Windsor tie', 'suit', 'bassoon', 'oboe']
Black	['trombone', 'trench coat', 'Windsor tie', 'suit', 'lab coat']
Black	['academic gown', 'maraca', 'panpipe', 'wig', 'bonnet']
Black	['hair spray', 'Windsor tie', 'lab coat', 'neck brace', 'bolo tie']
Black	['oboe', 'brassiere', 'bikini', 'hand blower', 'maillot']
Black	['wig', 'piggy bank', 'cowboy hat', 'ocarina', 'bubble']
Black	['mask', 'neck brace', 'Windsor tie', 'academic gown', 'maraca']
Black	['vestment', 'Windsor tie', 'abaya', 'neck brace', 'pick']
Black	['sweatshirt', 'neck brace', 'stole', 'bow tie', 'bonnet']
Black	['cloak', 'mortarboard', 'academic gown', 'bow tie', 'suit']
Black	['groom', 'academic gown', 'feather boa', 'mortarboard', 'bonnet']
Black	['plunger', 'miniskirt', 'bolo tie', 'spatula', 'wig']
Black	['jersey', 'hair spray', 'groom', 'cloak', 'feather boa']
Black	['wig', 'punching bag', 'football helmet', 'cornet', 'balloon']
Black	['ballplayer', 'oboe', 'bighorn', 'abaya', 'sax']
Black	['panpipe', 'cowboy hat', 'sombrero', 'chain mail', 'lampshade']
Black	['drumstick', 'scuba diver', 'snorkel', 'sea cucumber', 'paddle']
Black	['football helmet', 'French horn', 'shield', 'trombone', 'cornet']
Black	['bearskin', 'jigsaw puzzle', 'bath towel', 'weasel', 'cradle']
Black	['crib', 'bow tie', 'Band Aid', 'mask', 'pick']
Black	['remote control', 'maillot', 'maillot', 'neck brace', "potter's wheel"]
Black	['redbone', 'dalmatian', 'barbershop', 'accordion', 'breastplate']
Black	['bearskin', 'sunglass', 'Boston bull', 'sunglasses', 'loupe']
Black	['binoculars', 'sleeping bag', 'cloak', 'bassinet', 'vestment']
Black	['ski mask', 'comic book', 'bluetick', 'toy terrier', 'frilled lizard']
Black	['steel drum', 'ballplayer', 'stretcher', 'basketball', 'military uniform']
Black	['rugby ball', 'racket', 'bow', 'hammer', 'apron']
Black	['parallel bars', 'ice lolly', 'sunscreen', 'shoe shop', 'cowboy hat']
Black	['gasmask', 'military uniform', 'suit', 'Windsor tie', 'bow tie']
Black	['cornet', 'polecat', 'black-footed ferret', 'fox squirrel', 'neck brace']
Black	['Windsor tie', 'parallel bars', 'horizontal bar', 'bow', 'swing']
Black	['maypole', 'shopping cart', 'steel drum', 'accordion', 'shopping basket']
Black	['strainer', 'oboe', 'chain', 'bassoon', 'flute']
Black	['sax', 'Dutch oven', 'caldron', 'wok', 'frying pan']
Black	['Crock Pot', 'Windsor tie', 'pajama', 'bow tie', 'lab coat']
Black	['stethoscope', 'torch', 'ocarina', 'maypole', 'volleyball']
Black	['brassiere', 'brassiere', 'diaper', 'bikini', 'sunscreen']
Black	['nipple', 'shower cap', 'bathing cap', 'bonnet', 'wig']
Black	['Band Aid', 'toyshop', 'wig', 'stage', 'altar']
Black	['shoe shop', 'bath towel', 'crib', 'vizsla', 'beagle']
Black	['tub', 'torch', 'academic gown', 'mortarboard', 'plunger']
Black	['military uniform', 'oxygen mask', 'gasmask', 'neck brace', 'comic book']
Black	['breastplate', 'military uniform', 'bearskin', 'bathing cap', 'bobsled']
Black	['miniskirt', 'home theater', 'seat belt', 'minibus', 'limousine']
Black	['go-kart', 'perfume', 'bubble', 'remote control', 'hair spray']
Black	['stage', 'red wine', 'cello', 'violin', 'goblet']
Black	['cocktail shaker', 'bonnet', 'Windsor tie', 'stole', 'sock']
Black	['cardigan', 'tick', 'ballpoint', 'nail', 'matchstick']
Black	['Band Aid', 'cab', 'traffic light', 'police van', 'limousine']
Black	['garbage truck', 'lab coat', 'knee pad', 'Windsor tie', 'neck brace']
Black	['maillot', 'neck brace', 'Windsor tie', 'jersey', 'bearskin']
Black	['bulletproof vest', 'binoculars', 'umbrella', 'hatchet', 'plunger']
Black	['tripod', 'harmonica', 'Band Aid', 'mask', 'cellular telephone']
Black	['sweatshirt', 'wig', 'bikini', 'hair spray', 'hair slide']
Black	['hand blower', 'military uniform', 'pickelhaube', 'Windsor tie', 'suit']
Black	['bow tie', 'Windsor tie', 'hand-held computer', 'lab coat', 'neck brace']
Black	['academic gown', 'trench coat', 'military uniform', 'rifle', 'tripod']
Black	['crutch', 'bearskin', 'torch', 'pop bottle', 'ocarina']
Black	['drum', 'rugby ball', 'ping-pong ball', 'neck brace', 'ballplayer']
Black	['academic gown', 'neck brace', 'face powder', 'sunscreen', 'loupe']
Black	['Band Aid', 'crutch', 'bathing cap', 'bubble', 'ballplayer']
Black	['military uniform', 'Windsor tie', 'lab coat', 'suit', 'bolo tie']
Black	['oboe', 'academic gown', 'Windsor tie', 'mortarboard', 'suit']
Black	['bassoon', 'suit', 'stethoscope', 'Windsor tie', 'bow tie']
Black	['lab coat', 'barber chair', 'laptop', 'screen', 'monitor']
Black	['barbershop', 'carousel', 'puck', 'plunger', 'bobsled']
Black	['ski', 'ballplayer', 'wool', 'sweatshirt', 'poncho']
Black	['spatula', 'wig', 'Irish water spaniel', 'chain mail', 'curly-coated retriever']
Black	['bearskin', 'lab coat', 'bow tie', 'sunglass', 'sunglasses']
Black	['military uniform', 'Windsor tie', 'panpipe', 'basketball', 'ballplayer']
Black	['vestment', 'vestment', 'pickelhaube', 'military uniform', 'kimono']
Black	['throne', 'mortarboard', 'plunger', 'cowboy hat', 'spatula']
Black	['barbershop', 'bearskin', 'neck brace', 'Windsor tie', 'suit']
Black	['academic gown', 'American Staffordshire terrier', 'Weimaraner', 'Staffordshire bullterrier', 'mask']
Black	['piggy bank', 'oboe', 'abaya', 'bearskin', 'cloak']
Black	['Windsor tie', 'Windsor tie', 'trench coat', 'suit', 'cloak']
Black	['abaya', 'bubble', 'shower cap', 'mask', 'ski mask']
Black	['sunscreen', 'bulletproof vest', 'knee pad', 'ski mask', 'abaya']
Black	['sweatshirt', 'wok', 'Dutch oven', 'spatula', 'steel drum']
Black	['frying pan', 'cowboy hat', 'sturgeon', 'mountain bike', 'binoculars']
Black	['military uniform', 'shield', 'malamute', 'academic gown', 'dogsled']
Black	['military uniform', 'military uniform', 'trench coat', 'suit', 'Windsor tie']
Black	['bolo tie', 'Windsor tie', 'neck brace', 'academic gown', 'oboe']
Black	['sweatshirt', 'Windsor tie', 'suit', 'trench coat', 'sweatshirt']
Black	['Mexican hairless', 'maraca', 'drum', 'drumstick', 'candle']
Black	['mask', 'web site', 'Sussex spaniel', 'comic book', 'Windsor tie']
Black	['academic gown', 'barbell', 'ping-pong ball', 'stethoscope', 'racket']
Black	['basketball', 'Windsor tie', 'suit', 'neck brace', 'Band Aid']
Black	['pick', 'barrow', 'bucket', 'birdhouse', 'milk can']
Black	['shovel', 'basketball', 'rugby ball', 'soccer ball', 'volleyball']
Black	['academic gown', 'cello', 'microphone', 'bassoon', 'violin']
Black	['trombone', 'microphone', 'reflex camera', 'hair spray', 'stethoscope']
Black	['accordion', 'bathing cap', 'shower cap', 'bikini', 'swimming trunks']
Black	['maillot', 'suit', 'Loafer', 'groom', 'Windsor tie']
Black	['mortarboard', 'stretcher', 'ambulance', 'lifeboat', 'jinrikisha']
Black	['bathing cap', 'violin', 'cello', 'bow', 'flute']
Black	['trombone', 'harp', 'book jacket', 'monkey', 'Rottweiler']
Black	['banjo', 'swimming trunks', 'bikini', 'Weimaraner', 'bathing cap']
Black	['Italian greyhound', 'jean', 'crutch', 'miniskirt', 'cowboy hat']
Black	['gasmask', 'bulletproof vest', 'barbershop', 'assault rifle', 'military uniform']
Black	['chain saw', 'toyshop', 'confectionery', 'bakery', 'gong']
Black	['hot pot', 'sandbar', 'bow', 'swimming trunks', 'bathing cap']
Black	['lakeside', 'suit', 'mortarboard', 'trench coat', 'bow tie']
Black	['lab coat', 'pretzel', 'plane', 'toyshop', 'tobacco shop']
Black	['hen-of-the-woods', 'maillot', 'bathing cap', 'maillot', 'balance beam']
Black	['dumbbell', 'monkey', 'monkey', 'platypus', 'macaque']
Black	['milk can', 'vizsla', 'swimming trunks', 'Chesapeake Bay retriever', 'cowboy hat']
Black	['dumbbell', 'suit', 'Windsor tie', 'bolo tie', 'bow tie']
Black	['academic gown', 'lab coat', 'bow tie', 'vestment', 'stethoscope']
Black	['neck brace', 'wig', 'bonnet', 'bearskin', 'panpipe']
Black	['Irish water spaniel', 'bearskin', 'neck brace', 'bulletproof vest', 'pedestal']
Black	['punching bag', 'military uniform', 'neck brace', 'cowboy hat', 'sombrero']
Black	['bulletproof vest', 'military uniform', 'pickelhaube', 'trench coat', 'kimono']
Black	['bearskin', 'chocolate sauce', 'red wine', 'cockroach', 'ice cream']
Black	['American lobster', 'suit', 'cornet', 'Windsor tie', 'bolo tie']
Black	['bow tie', 'torch', 'guillotine', 'swing', 'bubble']
Black	['pole', 'golfcart', 'restaurant', 'limousine', 'drum']
Black	['marimba', 'shower cap', 'bathing cap', 'sunglasses', 'sweatshirt']
Black	['sunglass', 'bearskin', 'oboe', 'panpipe', 'whistle']
Black	['maraca', 'parallel bars', 'limousine', 'steel drum', 'flute']
Black	['drum', 'Mexican hairless', 'Band Aid', 'thimble', 'buckle']
Black	['Windsor tie', 'Band Aid', 'seat belt', 'bow tie', 'syringe']
Black	['wig', 'shoe shop', 'turnstile', 'barbell', 'wine bottle']
Black	['pop bottle', 'maillot', 'maillot', 'snorkel', 'bathing cap']
Black	['sarong', 'oxygen mask', 'gasmask', 'water bottle', 'mask']
Black	['football helmet', 'swimming trunks', 'bikini', 'sunscreen', 'maillot']
Black	['conch', 'bow tie', 'suit', 'Windsor tie', 'fur coat']
Black	['flute', 'lipstick', 'Band Aid', 'hair spray', 'wig']
Black	['syringe', 'swimming trunks', 'sunscreen', 'bikini', 'diaper']
Black	['tub', 'Staffordshire bullterrier', 'curly-coated retriever', 'American Staffordshire terrier', 'Labrador retriever']
Black	['pug', 'ice lolly', 'tricycle', 'maraca', 'bib']
Black	['swing', 'snowplow', 'reel', 'chain saw', 'king crab']
Black	['crane', 'coho', 'valley', 'sturgeon', 'alp']
Black	['cliff', 'ski mask', 'mask', 'gasmask', 'sleeping bag']
Black	['abaya', 'trench coat', 'suit', 'notebook', 'marimba']
Black	['grand piano', 'neck brace', 'eggnog', 'gong', "potter's wheel"]
Black	['spaghetti squash', 'diaper', 'swimming trunks', 'horizontal bar', 'bathtub']
Black	['tub', 'Greater Swiss Mountain dog', 'bulletproof vest', 'jersey', 'barbell']
Black	['dumbbell', 'military uniform', 'sweatshirt', 'trench coat', 'bow tie']
Black	['punching bag', 'toyshop', 'confectionery', 'shoe shop', 'grocery store']
Black	['hair spray', 'parachute', 'soccer ball', 'stretcher', 'Samoyed']
Black	['golf ball', 'bearskin', 'ski mask', 'military uniform', 'pickelhaube']
Black	['abaya', 'volleyball', 'soccer ball', 'bikini', 'maillot']
Black	['swimming trunks', 'assault rifle', 'Indian cobra', 'chain saw', "potter's wheel"]
Black	['oboe', 'torch', 'balance beam', 'pole', 'horizontal bar']
Black	['pinwheel', 'unicycle', 'recreational vehicle', 'bobsled', 'motor scooter']
Black	['abaya', 'ice lolly', 'coffee mug', 'Band Aid', 'ice cream']
Black	['hotdog', 'bathing cap', 'football helmet', 'punching bag', 'knee pad']
Black	['maillot', 'groom', 'gown', 'bow tie', 'theater curtain']
Black	['overskirt', 'hair spray', 'power drill', 'bathing cap', 'prison']
Black	['academic gown', 'mask', 'crash helmet', 'ski mask', 'wig']
Black	['gasmask', 'torch', 'marimba', 'toyshop', 'ice lolly']
Black	['bow tie', 'balance beam', 'dumbbell', 'horizontal bar', 'barbell']
Black	['racket', 'military uniform', 'oboe', 'suit', 'kimono']
Black	['bow tie', 'unicycle', 'dalmatian', 'knee pad', 'crash helmet']
Black	['ballplayer', 'bow tie', 'suit', 'military uniform', 'Windsor tie']
Black	['bolo tie', 'kimono', 'steel drum', 'marimba', 'vestment']
Black	['military uniform', 'ocarina', 'neck brace', 'Band Aid', 'Windsor tie']
Black	['loupe', 'tick', 'bagel', 'conch', 'buckeye']
Black	['dough', 'stethoscope', 'trench coat', 'military uniform', 'suit']
Black	['bolo tie', 'parallel bars', 'balance beam', 'ping-pong ball', 'stage']
Black	['accordion', 'torch', 'ocarina', 'bearskin', 'flute']
Black	['trench coat', 'flute', 'bassoon', 'bow tie', 'academic gown']
Black	['oboe', 'gong', 'vestment', 'throne', 'sax']
Black	['theater curtain', 'mask', 'ski mask', 'isopod', 'chambered nautilus']
Black	['thimble', 'ski mask', 'mask', 'pug', 'neck brace']
Black	['plunger', 'notebook', 'dumbbell', 'wig', 'hand blower']
Black	['plunger', 'groom', 'bow tie', 'suit', 'Windsor tie']
Black	['seat belt', 'stretcher', 'military uniform', 'gasmask', 'crutch']
Black	['tank', 'kimono', 'pinwheel', 'soccer ball', 'toyshop']
Black	['knee pad', 'tractor', 'flagpole', 'mortarboard', 'Newfoundland']
Black	['police van', 'football helmet', 'soccer ball', 'rugby ball', 'ballplayer']
Black	['baseball', 'plunger', 'barbershop', 'mortarboard', 'jersey']
Black	['library', 'kimono', 'ski mask', 'groom', 'mask']
Black	['pug', 'wig', 'wool', 'bearskin', 'teddy']
Black	['pickelhaube', 'microphone', 'bow tie', 'sax', 'cornet']
Black	['harmonica', 'gasmask', 'comic book', 'pug', 'oxygen mask']
Black	['mask', 'vestment', 'altar', 'plunger', 'toyshop']
Black	['restaurant', 'ski', 'bobsled', 'jinrikisha', 'shield']
Black	['dogsled', 'sombrero', 'bassinet', 'acoustic guitar', 'yurt']
Black	['cowboy hat', 'crutch', 'stethoscope', 'academic gown', 'mortarboard']
Black	['bow tie', 'panpipe', 'hair spray', 'maraca', 'crutch']
Black	['cellular telephone', 'admiral', 'safe', 'chain saw', 'scoreboard']
Black	['book jacket', 'suit', 'military uniform', 'bow tie', 'Windsor tie']
Black	['trench coat', 'jinrikisha', 'crutch', 'unicycle', 'parking meter']
Black	['oxcart', 'seat belt', 'bow tie', 'syringe', 'Windsor tie']
Black	['lab coat', 'ballplayer', 'shield', 'soccer ball', 'football helmet']
Black	['baseball', 'bicycle-built-for-two', 'EntleBucher', 'unicycle', 'Boston bull']
Black	['dogsled', 'bassoon', 'electric guitar', 'stage', 'microphone']
Black	['acoustic guitar', 'Windsor tie', 'panpipe', 'bulletproof vest', 'oboe']
Black	['book jacket', 'ice lolly', 'sunscreen', 'park bench', 'steel drum']
Black	['ear', 'harp', 'panpipe', 'flute', 'chime']
Black	['bow', 'ballplayer', 'military uniform', 'jersey', 'rugby ball']
Black	['ping-pong ball', 'maillot', 'maillot', 'bikini', 'overskirt']
Black	['hatchet', 'groom', 'gown', 'bow tie', 'mortarboard']
Black	['toyshop', 'military uniform', 'barbershop', 'bow tie', 'harmonica']
Black	['sweatshirt', 'microphone', 'chain mail', 'stage', 'accordion']
Black	['hair spray', 'Windsor tie', 'suit', 'academic gown', 'trench coat']
Black	['lab coat', 'suit', 'Windsor tie', 'academic gown', 'groom']
Black	['lab coat', 'suit', 'bow tie', 'Windsor tie', 'military uniform']
Black	['academic gown', 'Windsor tie', 'neck brace', 'academic gown', 'suit']
Black	['vestment', 'motor scooter', 'rugby ball', 'moped', 'sunscreen']
Black	['sturgeon', 'vestment', 'Brittany spaniel', 'fur coat', 'clumber']
Black	['teddy', 'bow tie', 'military uniform', 'suit', 'jersey']
Black	['seat belt', 'cloak', 'suit', 'academic gown', 'abaya']
Black	['trench coat', 'sunscreen', 'bow tie', 'Band Aid', 'mask']
Black	['sunglasses', 'bow tie', 'bolo tie', 'suit', 'Windsor tie']
Black	['mortarboard', 'mask', 'shower cap', 'wig', 'comic book']
Black	['bathing cap', 'Windsor tie', 'suit', 'academic gown', 'oboe']
Black	['mortarboard', 'chiffonier', 'entertainment center', 'shoji', 'fox squirrel']
Black	['plate rack', 'Windsor tie', 'suit', 'bolo tie', 'oboe']
Black	['bow tie', 'bikini', 'maillot', 'gown', 'maillot']
Black	['miniskirt', 'ping-pong ball', 'harmonica', 'whistle', 'microphone']
Black	['basketball', 'book jacket', 'binder', 'perfume', 'hair spray']
Black	['lighter', 'harmonica', 'cellular telephone', 'ice lolly', 'Band Aid']
Black	['whistle', 'trench coat', 'stethoscope', 'microphone', 'lab coat']
Black	['electric guitar', 'sunscreen', 'ice lolly', 'seat belt', 'spatula']
Black	['Band Aid', 'Windsor tie', 'redbone', 'hand-held computer', 'English foxhound']
Black	['toy terrier', 'groom', 'bow tie', 'hair spray', 'wig']
Black	['whistle', 'cloak', 'trench coat', 'accordion', 'microphone']
Black	['wig', 'diaper', 'nipple', 'bath towel', 'stethoscope']
Black	['swimming trunks', 'whistle', 'plunger', 'mortarboard', 'torch']
Black	['flute', 'torch', 'basketball', 'volleyball', 'unicycle']
Black	['horizontal bar', 'oxcart', 'gasmask', 'ox', 'groom']
Black	['stretcher', 'bulletproof vest', 'bearskin', 'neck brace', 'English foxhound']
Black	['pickelhaube', 'cuirass', 'pickelhaube', 'chain mail', 'breastplate']
Black	['bow tie', 'sweatshirt', 'crutch', 'swimming trunks', 'cardigan']
Black	['stethoscope', 'lab coat', 'sweatshirt', 'vestment', 'pajama']
Black	['jersey', 'French horn', 'sax', 'kimono', 'microphone']
Black	['trombone', 'restaurant', 'library', 'barbershop', 'grocery store']
Black	['laptop', 'neck brace', 'ocarina', 'bassoon', 'cello']
Black	['sax', 'panpipe', 'harmonica', 'flute', 'whistle']
Black	['barbershop', 'Windsor tie', 'oboe', 'suit', 'academic gown']
Black	['bow tie', 'bubble', 'toyshop', 'pinwheel', 'goldfish']
Black	['carousel', 'racket', 'marimba', 'torch', 'rugby ball']
Black	['harmonica', 'assault rifle', 'revolver', 'rifle', 'holster']
Black	['flute', 'jersey', 'bulletproof vest', 'ski mask', 'sweatshirt']
Black	['binoculars', 'mask', 'violin', 'ski mask', 'pole']
Black	['cellular telephone', 'diaper', 'bassinet', 'crib', 'Christmas stocking']
Black	['cradle', 'apiary', 'upright', 'patio', 'greenhouse']
Black	['solar dish', 'mask', 'ski mask', 'dalmatian', 'crash helmet']
Black	['bonnet', 'oboe', 'banjo', 'flute', 'bassoon']
Black	['prison', 'wig', 'feather boa', 'wool', 'lipstick']
Black	['bonnet', 'bow tie', 'ping-pong ball', 'racket', 'lab coat']
Black	['stethoscope', 'volleyball', 'pole', 'parallel bars', 'horizontal bar']
Black	['swimming trunks', 'chain saw', 'military uniform', 'stage', 'maraca']
Black	['sax', 'unicycle', 'sombrero', 'bannister', 'parking meter']
Black	['balance beam', 'trombone', 'military uniform', 'cornet', 'maypole']
Black	['unicycle', 'lab coat', 'stethoscope', 'Windsor tie', 'suit']
Black	['fur coat', 'trench coat', 'military uniform', 'fur coat', 'sunglass']
Black	['wool', 'assault rifle', 'cornet', 'trombone', 'rifle']
Black	['bassoon', 'bow tie', 'bathing cap', 'mask', 'sunscreen']
Black	['Band Aid', 'sunglass', 'sunglasses', 'bow tie', 'trench coat']
Black	['military uniform', 'bathing cap', 'syringe', 'sunglass', 'sunglasses']
Black	['cowboy hat', 'Windsor tie', 'neck brace', 'bulletproof vest', 'overskirt']
Black	['oxygen mask', 'neck brace', 'Sussex spaniel', 'toy poodle', 'papillon']
Black	['Brabancon griffon', 'chocolate sauce', 'cockroach', 'Irish setter', 'hermit crab']
Black	['German short-haired pointer', 'wig', 'mask', 'ski mask', 'pickelhaube']
Black	['bulletproof vest', 'Indian cobra', 'shield', 'oboe', 'stretcher']
Black	['chain mail', 'bubble', 'corkscrew', 'mask', 'sunglasses']
Black	['seat belt', 'buckle', 'mask', 'dumbbell', 'revolver']
Black	['harmonica', 'power drill', 'chain saw', 'theater curtain', 'shoji']
Black	['hoopskirt', 'pajama', 'steel drum', 'kimono', 'maraca']
Black	['accordion', 'trombone', 'stethoscope', 'academic gown', 'Windsor tie']
Black	['suit', 'ice lolly', 'sunscreen', 'mitten', 'ear']
Black	['whistle', 'mask', 'suit', 'sweatshirt', 'bow tie']
Black	['abaya', 'mask', 'microphone', 'gasmask', 'sunglass']
Black	['wig', 'ocarina', 'harmonica', 'cellular telephone', 'microphone']
Black	['groom', 'trench coat', 'gasmask', 'microphone', 'jersey']
Black	['bulletproof vest', 'military uniform', 'suit', 'mortarboard', 'academic gown']
Black	['groom', 'poncho', 'stole', 'cardigan', 'mitten']
Black	['bonnet', 'sax', 'French horn', 'cornet', 'oboe']
Black	['harmonica', 'Windsor tie', 'academic gown', 'prison', 'suit']
Black	['trench coat', 'wig', 'gasmask', 'hair spray', 'lens cap']
Black	['fur coat', 'trench coat', 'overskirt', 'abaya', 'cloak']
Black	['black-and-tan coonhound', 'Windsor tie', 'bow tie', 'military uniform', 'suit']
Black	['Band Aid', 'military uniform', 'ballplayer', 'rugby ball', 'basketball']
Black	['baseball', 'stethoscope', 'whistle', 'stage', 'flute']
Black	['hammer', 'vestment', 'kimono', 'overskirt', 'groom']
Black	['pajama', 'tench', 'rock beauty', 'platypus', 'steel drum']
Black	['dugong', 'Band Aid', 'mask', 'lipstick', 'sunscreen']
Black	['bow tie', 'chain mail', 'stage', 'chain saw', 'banjo']
Black	['electric guitar', 'Windsor tie', 'suit', 'groom', 'ocarina']
Black	['academic gown', 'steel drum', 'neck brace', 'toyshop', 'academic gown']
Black	['marimba', 'lipstick', 'Band Aid', 'sunscreen', 'mask']
Black	['loupe', 'sax', 'cornet', 'oboe', 'prison']
Black	['torch', 'sunscreen', 'face powder', 'puck', 'loupe']
Black	['Band Aid', 'panpipe', 'bassoon', 'trombone', 'vestment']
Black	['sax', 'candle', 'diaper', 'menu', 'jigsaw puzzle']
Black	['groom', 'bearskin', 'pop bottle', 'wine bottle', 'picket fence']
Black	['mailbox', 'cornet', 'harmonica', 'torch', 'stage']
Black	['restaurant', 'Windsor tie', 'bulletproof vest', 'academic gown', 'oboe']
Black	['suit', 'burrito', 'plate', 'restaurant', 'dough']
Black	['cleaver', 'bearskin', 'dogsled', 'military uniform', 'steel drum']
